addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
서울특별시 동작구 여의대방로20길 61 (신대방동),,1,A03,A0302,A03020200,131408,28,20021118090000,http://tong.visitkorea.or.kr/cms/resource/92/3535092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3535092_image3_1.jpg,Type3,126.9215449274,37.4938977769,6,20250910195016,12,,서울시립보라매청소년센터,07062,11,590,VE,VE10,VE100200
서울특별시 종로구 자하문로1길 24 (체부동),,1,A02,A0203,A02030600,2992822,12,20230706134332,http://tong.visitkorea.or.kr/cms/resource/62/3535062_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3535062_image3_1.jpg,Type1,126.9710825243,37.5765696140,6,20250910190527,23,,세종마을 음식문화거리,03041,11,110,VE,VE04,VE040100
서울특별시 용산구 서빙고로 221,,1,A02,A0202,A02020700,2783317,12,20211130181639,http://tong.visitkorea.or.kr/cms/resource/27/3535027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3535027_image3_1.jpg,Type1,126.9891990540,37.5230622673,6,20250910184434,21,,용산공원 부분개방부지,04383,11,170,VE,VE03,VE030500
서울특별시 은평구 은평로 195 (녹번동),,1,A02,A0207,A02070200,3000221,15,20230824164507,http://tong.visitkorea.or.kr/cms/resource/90/3534390_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3534390_image3_1.jpg,Type3,126.9293522690,37.6022297707,6,20250910180944,22,010-9771-2090,은평청년축제,03384,11,380,EV,EV01,EV010600
서울특별시 성북구 선잠로2다길 13-13,지하1층,1,A05,A0502,A05020900,2839237,39,20220818162411,http://tong.visitkorea.or.kr/cms/resource/21/2839221_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2839221_image3_1.jpg,Type3,126.9996348473,37.5987786564,6,20250910174940,17,,오버스토리,02824,11,290,FD,FD05,FD050100
부산광역시 기장군 기장읍 차성로417번길 35,,6,A02,A0201,A02010700,1953936,12,20141006185120,http://tong.visitkorea.or.kr/cms/resource/38/3534938_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/38/3534938_image3_1.png,Type3,129.2158836772,35.2578421006,6,20250910172714,3,051-721-3287,기장향교,46053,26,710,HS,HS01,HS010900
부산광역시 북구 낙동강자전거길 1455 (덕천동),화명생태공원야구장B,6,A02,A0207,A02070200,1719667,15,20120915024318,http://tong.visitkorea.or.kr/cms/resource/99/3534899_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3534899_image3_1.jpg,Type3,128.9985119927,35.2194312667,6,20250910172630,8,051-309-4522,낙동강 구포나루 축제,46500,26,320,EV,EV01,EV010200
부산광역시 금정구 장전온천천로 48 (장전동),부산광역시 금정구 온천천 및 부산대학로 일원,6,A02,A0207,A02070200,2558735,15,20180824194400,http://tong.visitkorea.or.kr/cms/resource/24/3534524_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3534524_image3_1.jpg,Type3,129.0893371356,35.2296540211,6,20250910143811,2,051-715-6984,부산국제공연예술제,46291,26,410,EV,EV01,EV010200
부산광역시 남구 유엔평화로76번길 1 (대연동),부산문화회관,6,A02,A0207,A02070200,3006246,15,20230901131059,http://tong.visitkorea.or.kr/cms/resource/28/3405728_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3405728_image3_1.jpg,Type3,129.0937450823,35.1285070990,6,20250910113242,4,051-745-7298,부산국제공연예술마켓,48534,26,290,EV,EV01,EV010200
부산광역시 강서구 명지국제1로 60-1 (명지동),7층  8층,6,A02,A0203,A02030400,3038572,12,20230926095512,http://tong.visitkorea.or.kr/cms/resource/00/3521300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3521300_image3_1.jpg,Type3,128.9054623949,35.0942796893,6,20250910111003,1,,몬스터파크 부산명지점,46726,26,440,EX,EX07,EX070200
